epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0339,0.688,1.09077,0.93477,0.96625,0.89888,0.96938,0.80408,0.5665,0.4974,0.92781,0.000657895,0.000657895,0.000657895
2,70.1949,0.66987,0.59065,0.93412,0.90569,0.86324,0.90069,0.74692,0.70421,0.86962,0.98941,0.00131145,0.00131145,0.00131145
3,103.324,0.6981,0.58184,0.94664,0.95543,0.22472,0.26151,0.20631,1.53475,3.64503,1.62675,0.0019518,0.0019518,0.0019518
4,136.245,0.67128,0.54601,0.94216,0.67501,0.65347,0.61674,0.49241,0.70441,1.16764,1.00459,0.0019406,0.0019406,0.0019406
5,169.197,0.64249,0.51495,0.92055,0.8866,0.79065,0.90431,0.74106,0.61594,0.88491,0.93887,0.0019208,0.0019208,0.0019208
6,202.176,0.61241,0.50814,0.9133,0.995,0.91011,0.97138,0.83895,0.55292,0.41702,0.92682,0.001901,0.001901,0.001901
7,235.307,0.61172,0.48159,0.91074,0.98763,0.89731,0.97006,0.85519,0.51154,0.42513,0.91775,0.0018812,0.0018812,0.0018812
8,267.497,0.60099,0.49633,0.90694,0.96387,0.89937,0.97003,0.85322,0.5127,0.40739,0.91635,0.0018614,0.0018614,0.0018614
9,300.481,0.57348,0.46319,0.89995,0.99479,0.80899,0.94466,0.81726,0.52326,0.4543,0.91334,0.0018416,0.0018416,0.0018416
10,333.559,0.56129,0.44008,0.90288,0.9865,0.86517,0.97473,0.86427,0.49397,0.39164,0.89934,0.0018218,0.0018218,0.0018218
11,366.862,0.56705,0.44302,0.89716,0.98493,0.89888,0.97669,0.87505,0.4742,0.36403,0.90083,0.001802,0.001802,0.001802
12,400.182,0.53653,0.43364,0.88338,0.95284,0.95506,0.98346,0.87838,0.46712,0.36581,0.90153,0.0017822,0.0017822,0.0017822
13,433.523,0.52341,0.41776,0.88706,0.97306,0.88764,0.97533,0.87579,0.48637,0.37345,0.90039,0.0017624,0.0017624,0.0017624
14,466.39,0.52328,0.41396,0.88497,0.94905,0.89888,0.95159,0.85752,0.45299,0.38916,0.89141,0.0017426,0.0017426,0.0017426
